i,gamma0,coact,uniform,gaussian
218,7.56935e-05,7.09214e-05,7.08866e-05,0.000540415
219,7.52025e-05,6.92616e-05,7.02259e-05,0.000540077
220,7.47813e-05,6.82901e-05,6.97693e-05,0.000539603
221,7.24019e-05,6.7016e-05,6.88879e-05,0.000539527
222,7.22129e-05,6.62568e-05,6.79413e-05,0.000539348
223,7.21695e-05,6.60474e-05,6.74915e-05,0.000538944
224,7.09274e-05,6.45031e-05,6.62837e-05,0.000538356
225,6.89679e-05,6.37845e-05,6.51827e-05,0.000538222
226,6.87484e-05,6.35406e-05,6.47084e-05,0.000537887
227,6.76659e-05,6.23617e-05,6.38431e-05,0.000537778
228,6.72532e-05,6.16541e-05,6.35449e-05,0.000537406
229,6.63562e-05,6.13245e-05,6.25151e-05,0.000536912
230,6.52932e-05,6.11403e-05,6.21312e-05,0.000536809
231,6.42545e-05,5.99333e-05,6.13065e-05,0.000536246
232,6.40533e-05,5.89961e-05,6.02487e-05,0.000535905
233,6.33324e-05,5.86682e-05,5.95888e-05,0.000535401
234,6.30897e-05,5.83688e-05,5.87366e-05,0.000535173
235,6.20131e-05,5.71776e-05,5.83197e-05,0.000534889
236,6.12473e-05,5.67112e-05,5.77768e-05,0.000534577
237,6.0519e-05,5.62223e-05,5.76283e-05,0.000534501
238,5.99878e-05,5.55362e-05,5.73622e-05,0.000534245
239,5.91678e-05,5.53175e-05,5.66925e-05,0.000534094
240,5.85822e-05,5.50526e-05,5.5704e-05,0.000533283
241,5.81646e-05,5.41029e-05,5.51928e-05,0.000532727
242,5.7677e-05,5.38859e-05,5.48749e-05,0.000532556
243,5.66497e-05,5.32124e-05,5.42014e-05,0.000532243
244,5.64025e-05,5.2568e-05,5.36353e-05,0.000531996
245,5.58101e-05,5.19613e-05,5.34313e-05,0.000531619
246,5.50904e-05,5.16481e-05,5.28625e-05,0.000531518
247,5.48209e-05,5.14854e-05,5.20538e-05,0.000531201
248,5.43349e-05,5.09395e-05,5.17798e-05,0.000531092
249,5.40486e-05,5.01126e-05,5.09435e-05,0.000530744
250,5.35458e-05,4.938e-05,5.05689e-05,0.000530147
251,5.241e-05,4.90912e-05,5.0254e-05,0.000529833
252,5.2186e-05,4.86729e-05,4.97597e-05,0.000529535
253,5.13165e-05,4.83973e-05,4.97054e-05,0.000529186
254,5.11442e-05,4.78411e-05,4.89439e-05,0.000528936
255,5.05932e-05,4.75877e-05,4.86412e-05,0.000528445
256,5.00593e-05,4.71068e-05,4.80985e-05,0.000528389
